date,target_capacity,total_capacity,plant_id
2024-05-12,990,1000,-NxXNR6vVdQY2Av4KVWc
2024-05-13,1000,1010,-NxXNR6vVdQY2Av4KVWc
2024-05-14,1010,1020,-NxXNR6vVdQY2Av4KVWc
2024-05-15,1020,1030,-NxXNR6vVdQY2Av4KVWc
2024-05-16,1030,1040,-NxXNR6vVdQY2Av4KVWc
2024-05-17,1040,1050,-NxXNR6vVdQY2Av4KVWc
2024-05-18,1050,1060,-NxXNR6vVdQY2Av4KVWc
2024-05-19,1060,1070,-NxXNR6vVdQY2Av4KVWc
2024-05-20,1070,1080,-NxXNR6vVdQY2Av4KVWc
2024-05-21,1080,1090,-NxXNR6vVdQY2Av4KVWc
2024-05-22,400,5,-NxXNR6vVdQY2Av4KVWc
2024-05-23,0,0,-NxXNR6vVdQY2Av4KVWc
