date,target_capacity,total_capacity,plant_id
2024-05-12,880,890,-Nya8gUllGemye6qSYcs
2024-05-13,890,900,-Nya8gUllGemye6qSYcs
2024-05-14,900,910,-Nya8gUllGemye6qSYcs
2024-05-15,910,920,-Nya8gUllGemye6qSYcs
2024-05-16,920,930,-Nya8gUllGemye6qSYcs
2024-05-17,930,940,-Nya8gUllGemye6qSYcs
2024-05-18,940,950,-Nya8gUllGemye6qSYcs
2024-05-19,950,960,-Nya8gUllGemye6qSYcs
2024-05-20,960,970,-Nya8gUllGemye6qSYcs
2024-05-21,970,980,-Nya8gUllGemye6qSYcs
2024-05-22,100,15,-Nya8gUllGemye6qSYcs
2024-05-23,0,0,-Nya8gUllGemye6qSYcs
